
"[3509.0, 15.491612588132167, 0.692, 0.6924157910112959, 8]",0
"[1287.0, 6.140326379663303, 0.449, 0.44872802442932197, 6]",1
"[2308.0, 6.091683572420237, 0.742, 0.7420327032262529, 12]",2
"[2188.0, 5.83657799025346, 0.719, 0.7190279399374264, 14]",3
"[2266.5, 9.584804929754759, 0.701, 0.7008614928400634, 11]",4
"[2245.5, 5.723202147170332, 0.679, 0.6793739814729793, 15]",5
"[2984.0, 9.520729725845118, 0.701, 0.7014732386930426, 12]",6
"[1571.5, 5.938925136733216, 0.67, 0.6700986818510017, 8]",7
"[3427.5, 13.717407131147796, 0.653, 0.6526063522517724, 11]",8
"[3018.5, 9.659434252629755, 0.707, 0.7071523258449405, 11]",9
